stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,1.07,0,23.54,0,0,6.42,0,2.14,4.28,8.56,0,0,0,0,1.07,0,0,0
21Day,1.34,0,12.05,0,0,0,0,0,0,0,1.34,0,1.34,2.68,0,2.68,0,0,25.43,0,8.03,0,8.03,2.68,0,1.34,1.34,0,1.34,0,0
3Month,0,0.32,9.92,0.64,0.32,0.32,14.4,0,7.04,2.88,0,2.56,0.96,1.92,1.28,4.48,0.96,0,37.43,0.32,0.32,0,0,1.6,2.88,0.32,0,0,3.84,1.6,0.96
22Month,0,2.73,8.75,1.09,0.55,0.55,7.65,1.09,37.17,1.09,0.55,4.37,0.55,1.64,3.83,3.28,0.55,1.64,19.13,0,0.55,0,0,0.55,1.09,0,0,0,0,0,1.09
