stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,8.17,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,1.07,0,0,0,0,0,0,0,8.56,0,4.28,0,0,12.84,4.28,0,1.07,3.21,0,0,0
21Day,0,0,9.37,2.68,1.34,1.34,0,0,0,0,1.34,0,21.42,0,33.46,1.34,5.35,5.35,1.34,1.34,8.03,2.68,0,0,0
3Month,0,0.64,6.4,0,0,0,0.32,1.28,1.92,0.32,0.32,1.28,2.88,1.92,25.28,6.4,0.64,0.32,0,0,0.64,0.32,0.96,0.32,0.64
22Month,0,0,5.47,0,0,0,0,0.55,7.65,0,0.55,0,1.09,0.55,10.39,0,1.09,0,0,0.55,0,0.55,0,0,0
