stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20.43,8.17,0,192.06,8.17,0,0,0,0,0,0,0,0,0,0,4.09,36.78,8.17,241.1,0,0,4.09,4.09,1932.87,0,0,32.69,0,0,4.09,0,20.43,0,0,0
72hpf,4.28,0,0,55.63,8.56,3.21,0,1.07,0,0,0,0,0,0,0,41.72,65.26,1.07,104.84,0,2.14,0,39.58,242.84,0,1.07,33.16,0,1.07,85.58,0,8.56,0,0,0
21Day,6.69,0,2.68,148.58,2.68,5.35,0,0,1.34,0,1.34,0,0,0,4.02,0,29.45,6.69,65.59,0,2.68,0,22.76,89.68,2.68,6.69,25.43,8.03,2.68,29.45,1.34,0,0,0,0
3Month,1.6,0.32,5.76,138.86,0.96,0,0.96,0.32,12.16,3.84,1.28,10.88,2.24,0.32,80.31,16.96,56.95,9.92,31.67,0.64,5.44,22.08,2.88,8.64,3.84,9.6,0.64,2.88,41.91,9.6,0,2.88,5.76,1.6,3.52
22Month,0.55,0,7.11,15.85,0.55,0,0.55,0,1.64,2.19,5.47,14.21,0.55,0,62.32,0,3.83,2.73,7.11,0,2.19,0.55,0,2.19,4.37,16.95,0,0,19.13,13.12,0.55,0.55,0.55,0,1.64
