stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,65.38,0,4.09,0,12.26,0,4.09,0,0,0,0,0,4.09,4.09,286.05,32.69,0,0,0,8.17,294.22,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,2.14,0,14.98,1.07,0,0,4.28,0,3.21,0,0,0,5.35,0,1.07,29.95,4.28,18.19,0,0,0,88.79,44.93,0,1.07,10.7,0,0,5.35,0,0,2.14,0,0,0
21Day,5.35,1.34,1.34,48.19,1.34,4.02,0,18.74,0,17.4,0,1.34,8.03,54.88,0,2.68,37.48,20.08,8.03,0,0,1.34,34.8,18.74,1.34,1.34,9.37,0,0,5.35,2.68,4.02,4.02,1.34,0,22.76
3Month,0,0.96,0,15.04,0,0,0.32,5.44,1.28,24,0,3.84,33.91,1.92,0.96,0.96,26.56,6.4,2.88,0.32,0,0,0,0,0,0,0,1.92,8.96,0.32,0,0,0,9.92,1.92,13.76
22Month,0,1.09,0,4.92,0,0,1.09,3.28,0,69.97,0.55,7.11,21.87,5.47,0.55,0,6.01,12.03,0.55,0,1.64,0,1.09,0,0.55,0,0,0.55,0,0,0,0,0,0,0,6.01
