stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,44.95,36.78,0,0,0,0,0,0,0,0,0,0,114.42,0,0,0,0,16.35,73.56,0,0,20.43,0,0,0,0,0,0,0,0
72hpf,6.42,9.63,11.77,1.07,0,0,0,0,0,0,0,2.14,0,53.49,0,2.14,0,0,11.77,10.7,0,0,19.26,0,0,0,0,1.07,1.07,0,0
21Day,12.05,0,9.37,1.34,0,0,0,1.34,0,1.34,1.34,1.34,0,25.43,0,0,2.68,0,5.35,4.02,1.34,0,16.06,1.34,0,0,1.34,1.34,0,0,0
3Month,0,0.32,5.44,0,0.64,0.64,0,1.92,0.64,6.08,0,1.6,0.32,2.24,0.32,0,0,0.64,0,0,0,0.32,0,0.32,0.64,0.32,0,0,0,8,0.32
22Month,0,2.19,1.64,0,0.55,1.09,4.92,10.93,0,14.76,0,1.09,1.09,4.92,0.55,0,0,0,0.55,0,0.55,1.09,0,0,1.09,0,0,0,0,0,0.55
