stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,4.02,0,0,0,0,0,0,1.34,1.34,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,1.28,2.56,16,2.24,1.92,1.6,0,467.45,3.52,0,9.92,0.96,1.92,2.24,1.28,0.32,1.28,0.96,1.92,0,0.96,0.32,0,11.52,1.92,0.32,0,1.6,0.32,3.2
22Month,0.55,1.09,1.64,5.47,1.09,1.09,1.64,1.09,554.31,0.55,0.55,5.47,0.55,0.55,1.09,2.19,0,16.95,0.55,0,0,0,0,0.55,2.19,1.09,0.55,0.55,0,0,0
