stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,4.28,0,0,0,5.35,0,1.07,0,0,0
21Day,0,0,0,1.34,0,0,0,0,2.68,0,0,2.68,0,0,0,0,0,0,0,1.34,0,0,0
3Month,0,0.64,0,0,0.32,0.32,0,3.2,0,0.32,0.32,0.64,0.32,0.64,0.64,0.64,0.64,0,0.32,0,26.56,1.6,0.32
22Month,0,1.09,0,0,0,0,1.64,2.73,0,1.09,0,0,0.55,0.55,0,0,0,0,0,0,0,0,0
