stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,4.28,0,0,35.3,3.21,0,9.63,0,0,5.35,0,0,0,0,0
21Day,1.34,0,2.68,2.68,0,0,0,0,0,1.34,0,0,0,0,0,13.39,0,0,53.54,0,0,8.03,1.34,0,16.06,2.68,2.68,0,0,1.34
3Month,0.32,0.32,0.32,0,0,0.32,0,0,0,2.56,0.32,0.96,0,0.32,0,10.24,1.92,0.64,0.96,0,1.28,0.96,0,0.96,11.2,0,0,0.32,0.96,0
22Month,0.55,0,1.09,0,1.64,0,2.73,0.55,0,11.48,0.55,0.55,0,0.55,2.73,7.65,1.64,0,8.2,0.55,6.56,0.55,0,0.55,49.2,1.64,0,0,0,0
