stage,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte
24hpf,0,0,0,4.09,0
72hpf,0,0,1.07,0,0
21Day,2.68,1.34,0,0,1.34
