stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,3.21,0,2.14,0,0,2.14,7.49,3.21,0,0,0,0,0
21Day,0,0,0,0,0,1.34,0,0,1.34,0,0,0,0,0,0,0,1.34,0,1.34,0,0,2.68,0,0
3Month,0.64,0.32,0.96,0.64,0.64,0.32,0,2.56,0,12.48,0,0.64,0.32,0.64,0.32,0.64,0.32,0,0,0.32,0.32,0,0.32,0.32
22Month,0.55,0,0,0,0,2.19,0.55,2.19,0,0.55,0,0,0,0.55,0,0,0.55,0,0,0,0.55,0,0,0.55
