stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,16.35,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,5.35,0,24.61,0,0,1.07,0,0,1.07,0,0
21Day,1.34,1.34,0,0,0,0,0,0,0,0,1.34,0,12.05,0,0,1.34,0,0,0,1.34,0
3Month,0,6.08,0.64,0.64,3.84,0.32,0.64,0.32,2.88,0.64,0.64,0,0.64,0,3.2,0,0.32,4.8,0,0,13.12
22Month,0,0.55,0.55,0,3.28,0,1.09,0,0,1.09,0.55,0.55,0,0,0.55,0,0,0,0,0,0
