stage,Cardiomyocyte,Erythrocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,T_cell
72hpf,1.07,0,0,1.07,0,1.07,16.05,8.56,1.07,1.07,0
21Day,0,1.34,0,0,2.68,0,8.03,6.69,0,0,0
3Month,0,0,1.28,0,0,0,0,0,0,0,0.32
22Month,0,0,1.09,0,0,0,0,0,0,0,0
