stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,4.09,8.17,0,0,4.09,24.52,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,2.14,0,3.21,0,0,2.14,8.56,2.14,0,0,0,0,1.07,0,0
21Day,0,2.68,0,2.68,0,0,0,0,1.34,1.34,1.34,0,1.34,0,0,0,0,1.34,0,0,0,1.34,0,0,0
3Month,0.32,0.64,0.32,4.16,0.32,0,0.96,0.32,2.88,0,0.96,0.32,0.64,0.32,0,0,0,0,0.96,11.84,0,0,0,7.68,1.28
22Month,0,0,0,1.09,0,0.55,11.48,0.55,1.64,0,0.55,1.09,0,0,0.55,0,0,0,0,1.09,0.55,0,0,0,0
