stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,4.09,0,40.86,4.09,4.09,0,0,0,0,0,0,0,4.09,0,0,16.35,40.86,102.16,0,0,32.69,420.9,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0
72hpf,6.42,7.49,0,14.98,2.14,4.28,0,0,0,0,0,0,0,1.07,0,9.63,17.12,1.07,71.68,5.35,0,46,112.33,0,1.07,0,43.86,2.14,0,7.49,0,2.14,2.14,0,0,0
21Day,18.74,2.68,5.35,77.63,0,85.67,0,25.43,0,2.68,0,1.34,5.35,50.86,1.34,4.02,17.4,10.71,56.22,0,21.42,18.74,61.57,1.34,0,0,33.46,2.68,4.02,10.71,4.02,20.08,1.34,0,0,13.39
3Month,0,0.64,0.32,13.76,0,0,1.28,1.28,1.28,10.56,0.32,11.84,3.52,2.24,3.2,0.32,3.52,5.44,1.92,0,0.32,0.96,0.64,2.56,0,0,0,0.96,52.47,0,0,0,0,2.24,8.64,9.28
22Month,0.55,3.28,2.19,8.2,0,0,2.73,1.09,0,15.85,4.37,60.13,6.01,6.56,9.29,0.55,1.09,13.67,3.83,0.55,1.64,0.55,0,2.73,0,1.09,0.55,0,8.75,0,0,0,0.55,0.55,0,2.73
