stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,32.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,6.42,1.07,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,20.33,1.07,0,0,0,0,0,0,0,0,0
21Day,2.68,0,5.35,4.02,0,0,0,0,0,1.34,0,1.34,2.68,0,0,0,0,0,0,0,4.02,0,0,0,1.34,0,0,1.34,1.34,0,0
3Month,0,0,4.16,0,0,0.96,0.64,0.32,0,5.44,0.96,1.6,0.32,0.96,0.64,2.24,0.64,0,0.96,0.32,0.32,0,0.32,0,0,2.88,0.32,0,0,0.96,0.32
22Month,0.55,2.19,3.83,0,0,0,0.55,1.64,0,31.16,1.64,1.64,0,1.09,1.09,4.92,0,1.09,0,0,0.55,0,0,0.55,0.55,1.09,0,0,0,0,1.09
