stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,4.28,13.91,0,1.07,1.07,0,0,0,0
21Day,4.02,1.34,0,1.34,0,0,0,0,0,1.34,0,0,1.34,0,1.34,0,0,5.35,2.68,1.34,0,1.34,1.34,0,0,0
3Month,0,2.24,0,0,0.32,0.64,0,0.64,0.32,0,0.32,0.96,0.32,0.32,0.32,0,0.32,0,0.64,0,0,0,25.92,0.32,5.44,0.96
22Month,0,0.55,0,0,0,1.09,0.55,4.92,0,0.55,2.19,0,0,0.55,1.09,0.55,0,0,0,0.55,0,0,8.2,0,0,0
