stage,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,0,4.28,0,0,2.14,0
21Day,1.34,0,0,0,0,1.34,12.05,2.68,0,14.72,0
3Month,0.32,0,0,0.32,0.32,0,0,0,0.32,0,0.32
22Month,0,0.55,0.55,0,0,0.55,0,0,0,0,0
