stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,65.38,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,2.14,0,0,0,3.21,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34,0
3Month,0,1.28,0.64,0.32,1.92,0.32,0.32,0,0.32,0.32,0.32,0,0.32,0,0,0,0,0,0.32,0,1.92
22Month,0.55,1.64,0,0,11.48,0.55,0,0.55,0,0,1.09,0.55,0,0.55,0,0,0.55,0.55,1.09,0,0
