stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,3.21,0,0,0,0,1.07,0,0,1.07,0,0,0
21Day,0,2.68,0,1.34,0,0,1.34,0,0,0,0,1.34,0,1.34,0,0,1.34,4.02,0,0,0,0,0,0,0,0,0,0,0,0,1.34
3Month,0,2.56,0.32,0,0.32,0.96,0.96,0,0,8.64,1.6,0.64,6.4,0.96,0.32,3.2,2.24,0.64,0.32,0.32,0,0.32,0,0,0,0.32,6.08,0.32,1.28,6.08,1.6
22Month,1.09,0.55,0,0,0,0.55,2.19,1.64,0,13.12,0,0,3.28,0,0.55,0.55,0,0,0,0,0,0,0.55,1.09,0,0,2.73,0,0,0,0.55
