stage,Epithelial_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Nephron_cell,Primordial_germ_cell,Spermatocyte,T_cell
3Month,0.96,0.96,0,0.32,1.28,0,0.32,0.32,0.32,0.64
22Month,0,1.64,0.55,7.11,2.73,0.55,0,0,0,0
