stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neurosecretory_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
3Month,0,3.2,0,0.32,0.32,0,0,0.64,0.32,0.32,0.32,0,0,0,0,0.32,0.32
22Month,0.55,2.19,0.55,0.55,27.33,0.55,0.55,0.55,0,1.09,1.64,0.55,0.55,0.55,1.64,0,0
