stage,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage
21Day,0,1.34,0,0,0,4.02,0
3Month,0,0.32,0,0,0,0,0.32
22Month,0.55,0,1.09,1.09,3.28,1.09,0
