stage,Hepatocyte,Keratinocyte,Mesenchymal_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,4.09,4.09,0,0,0,0,0
72hpf,0,4.28,0,0,0,0,0,0
3Month,0.96,0,0.32,0,0.32,12.16,0.32,25.28
22Month,0,0,0,0.55,0,0,0,0
