stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,4.09,20.43,0,0,0,0,0,0,0
72hpf,110.19,0,0,0,0,0,0,0,0,0,0,0,4.28,0,2.14,0,0,12.84,2.14,1.07,0,0,1.07,2.14,0,0
21Day,30.79,0,0,1.34,0,0,0,0,0,1.34,0,0,0,4.02,2.68,0,0,5.35,1.34,5.35,0,1.34,2.68,0,0,0
3Month,25.28,0.32,0,2.24,0.64,0.32,0.64,5.44,0.96,0,1.28,0.32,1.28,1.6,1.6,0,0.64,0,0,3.84,0.32,0.32,22.4,0,14.08,0.96
22Month,14.76,0.55,1.09,2.19,0,0,1.09,12.57,0,0.55,0.55,0,0,0.55,3.28,1.09,0,0.55,0,1.09,0,0,50.29,0,0,1.09
