stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,4.09,0,12.26,0,0,0,16.35,0,0,0,0,4.09,0,16.35,0,77.64,0,0,0,0,0,0
72hpf,0,0,3.21,0,0,0,0,0,0,0,1.07,2.14,0,6.42,5.35,12.84,0,1.07,1.07,1.07,0,0
21Day,1.34,1.34,1.34,1.34,10.71,2.68,0,0,2.68,0,0,0,0,2.68,0,0,1.34,0,0,0,0,1.34
3Month,0,0,0.32,0,0,0,0,0.32,0,0,0,0.32,0,0,0,0,0,0,0.96,0,0.64,0
22Month,0,0,0,0,0,0,0,0.55,0,0.55,0,0,0.55,0,0,0,0,0,0,0,0,0
