stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,24.52,16.35,0,69.47,0,0,0,0,0,4.09,0,0,0,0,4.09,0,32.69,61.3,0,0,0,0,16.35,437.25,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,1.07,0,2.14,2.14,0,0,0,0,0,0,0,2.14,0,6.42,12.84,0,12.84,0,2.14,0,2.14,37.44,35.3,0,1.07,0,7.49,2.14,0,4.28,0,1.07,0,0,0
21Day,8.03,0,0,30.79,8.03,4.02,0,0,0,0,5.35,0,4.02,2.68,1.34,9.37,4.02,17.4,0,1.34,4.02,0,20.08,16.06,0,0,0,1.34,5.35,1.34,0,1.34,0,0,0,6.69
3Month,0,0,0,8.64,0,0,1.92,1.28,0,0,9.6,0.64,0.32,7.04,1.28,3.2,0.64,1.28,0.96,0,0,0.32,0.32,0,0.96,0.32,0,0.32,0.32,12.48,0,0,0,0.32,3.84,2.88
22Month,0,2.19,0.55,8.2,0,0,1.64,13.12,9.29,0,34.99,1.09,1.64,8.75,0,2.19,3.83,3.28,0,2.73,0.55,0,1.64,0,0.55,1.09,0.55,0,0,0.55,0.55,0,0,0,0,1.09
