stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.64,0,4.09,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,4.28,0,0,0,0,43.86,20.33,0,6.42,0,0,3.21,0,0,1.07,0,0
21Day,0,0,2.68,0,5.35,0,0,0,0,2.68,1.34,0,0,1.34,0,5.35,0,0,0,0,66.93,9.37,0,1.34,1.34,1.34,1.34,1.34,0,2.68,0,0
3Month,0,0,4.8,0.32,0,0.32,1.92,0.32,6.72,0.96,0,1.92,0,2.88,0.64,10.56,1.92,0,0.96,0.64,1.92,1.6,0.96,0,0.32,71.03,0,0.32,0.32,2.56,5.76,0.64
22Month,0,1.09,2.73,0.55,0,0,3.83,26.79,15.31,0.55,1.09,2.73,0.55,1.64,2.73,41,4.37,0.55,1.09,0,2.19,3.28,3.28,0,0.55,26.24,5.47,0.55,0,2.19,0,1.64
