stage,Epithelial_cell,Erythrocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cell
24hpf,4.09,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,2.14,2.14,130.51,23.54,3.21,1.07
21Day,1.34,1.34,1.34,0,1.34,20.08,2.68,2.68,1.34
