stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,0,0,0,0,4.09,0,0,0,0,0,8.17,12.26,12.26,0,0,0,0,8.17,77.64,0,0,0,4.09,0,0,0,0,16.35,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0
3Month,0,0.32,1.6,7.68,0,0,0.32,3.2,0,0,12.48,3.2,0.32,5.12,0.96,2.24,4.48,2.24,0.32,0,1.6,1.28,0.64,0,0.32,0,0,0,1.28,131.82,0,0,0,0.96,406.34,1.6
22Month,0,3.28,1.09,9.84,0.55,0.55,2.19,8.75,8.2,0,86.92,6.01,1.09,6.56,0.55,3.28,3.28,9.84,1.09,2.73,0,0.55,0,0.55,1.09,1.09,388.12,0,0.55,92.38,1.09,0.55,0,0.55,2.73,3.83
