stage,Epithelial_cell,Ionocyte,Keratinocyte,Macrophage,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,2.14,0,0,0,0,0,0,0
21Day,0,0,0,0,0,1.34,0,0,1.34,0,0,0,1.34
3Month,1.6,1.28,0.64,0.32,0.32,0,0,0.32,0,12.48,0.32,1.92,0
