stage,Epithelial_cell,Erythrocyte,Hepatocyte,Keratinocyte,Neural_cell
24hpf,4.09,0,0,0,4.09
72hpf,0,0,0,1.07,11.77
21Day,0,1.34,0,0,12.05
22Month,0.55,0,1.09,0,0
