stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,2.14,0,1.07,1.07,0,0,0,0,1.07,3.21,1.07,0,7.49,12.84,1.07,0,0,12.84,1.07,0,0
21Day,1.34,1.34,2.68,0,0,0,0,0,0,0,1.34,0,0,1.34,0,4.02,0,9.37,0,0,1.34
3Month,0,0,0,0,0.32,0.64,0,0.32,0,0.32,0,0.32,0,0,0,0,1.28,0,0,0.32,0.32
22Month,0,0,0,0,0,3.28,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
