stage,Cardiomyocyte,Hatching_gland,Immune_progenitor_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,20.43,0,0,12.26
72hpf,2.14,0,0,2.14,0
21Day,0,0,2.68,0,1.34
