stage,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_progenitor_cell,Pancreatic_cell
24hpf,0,0,0,0,0,0,0,0,0,0,12.26,0
72hpf,0,0,0,0,1.07,0,0,1.07,0,0,0,0
21Day,0,0,0,0,0,1.34,0,0,0,0,0,0
3Month,0.32,14.08,0.32,0.64,0,0,0,0,0.32,0,0,0.32
22Month,0,13.12,0,1.09,0,0,1.09,0.55,0,2.19,0,0
