stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,1.07,0,1.07,118.75,6.42,1.07,0,0,0,1.07,0,0,0
21Day,0,6.69,1.34,1.34,0,1.34,1.34,1.34,1.34,2.68,1.34,0,21.42,0,0,0,1.34,0,0,1.34,0,0
3Month,0,0,0.32,0,0.32,2.24,0,0.64,0,0.96,0,0.64,0.32,0,0,0.32,0.32,0.32,0,0,16,0.32
22Month,0,0,0,0,0,0.55,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
