stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,2.14,0,0,2.14,0,2.14,0,0,0,0,6.42,3.21,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,17.4,4.02,1.34,0,0,0,1.34,0,8.03,8.03,2.68,12.05,4.02,5.35,0,0,1.34,0,0,0,0,0,0,0,0,0,1.34,0,0,1.34
3Month,0,0.32,0.32,5.12,0,0,66.23,0.64,0,7.04,1.28,0.64,176.93,0,1.28,1.28,1.92,0.32,0,18.56,0.32,0.32,0,0.32,0,0,0.32,0.96,1.6,0,0.64,0.64,1.92
22Month,0,5.47,5.47,22.41,0,1.64,14.76,14.76,9.29,141.58,11.48,9.84,103.86,0,4.92,7.65,16.95,1.64,2.19,2.19,0,0,0.55,2.19,0.55,0.55,0,0.55,0.55,0,1.64,0,4.92
