stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,0,1.07,0,0,0,1.07,0,0,32.09,3.21,0,1.07,0,2.14,0
21Day,0,1.34,0,1.34,1.34,0,0,1.34,13.39,0,1.34,1.34,1.34,0,0
3Month,0.96,0.32,0.96,0.32,0,0,0,0,0.64,0,1.28,0.32,0,0,0.32
22Month,0,2.19,6.56,0,0,0,0.55,0,0,0,0,0,0,0,0.55
