stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,4.28,0,1.07,0,0,1.07,0,0,0
21Day,0,5.35,0,0,0,0,0,1.34,0,1.34,6.69,2.68,0,0,0,0,0,1.34,0,0,0,0,0,0,0,2.68
3Month,0.32,7.68,3.84,1.28,0,3.52,0.96,0,4.16,0.64,2.24,2.24,0.64,0.32,0,0.96,0.32,0.32,0.32,0,0.32,0.32,0,1.28,0.32,2.88
22Month,0.55,0,0,2.19,0.55,4.92,0.55,0,3.28,0,0.55,4.37,0.55,0,0.55,0,0,0,0.55,0,0,0,0,0,0,0
