stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,12.26,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,10.7,0,0,0,0,0,0,0,0,1.07,3.21,16.05,0,1.07,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,41.49,0,0,1.34,0,0,0,0,0,1.34,0,21.42,0,2.68,0,0,2.68,0,1.34,4.02,0,0,0,0,0,0,0,0,0,0
3Month,0.32,0.64,2.88,49.59,0.64,0.32,8.64,1.28,0,54.07,0.96,0,70.71,1.92,35.83,1.92,3.84,0,0.32,2.24,9.6,0.64,0,0.32,0,0,1.6,1.6,0,0,0,11.84,0.64
22Month,0.55,1.64,6.56,39.91,0,1.09,26.24,4.92,7.65,645.6,2.73,1.09,124.09,0.55,24.05,3.83,4.92,0.55,4.92,2.19,1.64,0,0,0.55,1.09,0.55,1.64,0.55,0.55,1.09,0.55,3.28,2.73
