stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Radial_glia,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,0,1.07,0,0,0,0,0,0,6.42,0,0,0,0,0,1.07,0,0
21Day,0,0,1.34,0,0,0,0,4.02,0,0,1.34,1.34,1.34,1.34,0,1.34,1.34
3Month,2.88,0.32,0,0.32,0.96,0.64,0.64,30.08,0,0,0,0.64,0,0,0,0,0
22Month,0.55,0,0,0,0,7.11,0,40.45,0,0.55,0,0,0,0,0,0,0
