stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,16.35,102.16,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,8.56,2.14,0,3.21,2.14,6.42,0,0,0,0,0,0,1.07,0,6.42,6.42,1.07,6.42,0,1.07,0,0,841.93,164.75,0,4.28,0,8.56,0,0,27.81,1.07,1.07,0,0,0
21Day,1.34,0,0,5.35,0,9.37,1.34,0,0,0,1.34,0,2.68,1.34,0,2.68,2.68,6.69,0,0,2.68,0,192.75,64.25,1.34,4.02,0,2.68,6.69,1.34,30.79,1.34,1.34,0,0,2.68
3Month,0,0,0.32,1.28,0,0,0,0,0.64,0.96,3.84,4.48,0,1.28,0.96,1.28,0.96,3.2,0.32,0,1.6,0.96,6.72,1.28,4.16,3.2,0,0,0.64,98.22,1.6,0,0.64,0.96,68.15,0.96
22Month,0,0.55,0,0,0.55,0,0,0.55,0.55,0.55,10.93,1.64,0.55,2.73,0,0,0,2.73,0,0,0,0,6.56,1.64,5.47,3.83,0.55,0,0.55,36.08,0.55,0,0.55,0,1.09,0
