stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,28.6,0,0,0,0,0,0,0,0,0,0,16.35,0,4.09,53.12,0,0,0,4.09,0,290.13,0,0,8.17,0,0,0,0,0,0,0
72hpf,1.07,0,0,3.21,5.35,0,0,0,0,0,0,0,0,0,0,11.77,0,8.56,0,1.07,0,1.07,25.67,14.98,0,0,4.28,0,2.14,4.28,1.07,0,0,0
21Day,1.34,0,0,4.02,8.03,5.35,0,0,0,0,0,0,0,0,1.34,2.68,0,8.03,0,0,1.34,1.34,8.03,4.02,1.34,0,2.68,1.34,4.02,1.34,0,0,0,0
3Month,0.96,1.92,0.64,33.59,1.92,0,0.96,1.28,2.56,0,23.68,3.84,1.6,8.96,12.16,5.12,3.2,11.52,3.52,0,0,3.2,8.96,0.64,3.52,1.92,1.28,2.88,163.49,0.96,0.64,8.32,761.8,4.8
22Month,0.55,1.09,0.55,12.03,0.55,0,0.55,0,0.55,2.19,22.41,1.09,0.55,6.01,1.64,0,2.19,7.11,0,0.55,0,0,1.64,0,1.64,0.55,0,0,54.12,1.64,0,1.09,2.73,1.09
