stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,8.17,0,12.26,0,0,0,0
72hpf,1.07,0,1.07,1.07,6.42,1.07,1.07,0,0,0,1.07,7.49,1.07,4.28,6.42,4.28,3.21,3.21,1.07,0
21Day,0,1.34,5.35,0,13.39,4.02,0,0,5.35,2.68,0,1.34,8.03,4.02,4.02,4.02,1.34,0,2.68,2.68
22Month,0,0,0,0,0,0,0,1.09,0,1.64,0,0,0,0.55,0,0,0,0,0,0
