stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,36.78,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,21.4,0,3.21,0,0,0,0,0,0,0,0,2.14,56.7,0,2.14,0,0,0,0,1.07,2.14,0,0,0,0,0,0,0,0,0,0
21Day,0,0,32.12,0,0,0,0,0,0,1.34,0,0,1.34,0,21.42,0,24.09,0,0,0,0,5.35,2.68,0,0,0,4.02,0,0,0,0,0,0
3Month,3.2,0.96,17.92,0.64,0,0,0.96,3.2,0,11.52,2.56,0,21.44,12.48,83.19,0.96,62.71,0.96,0,1.92,1.6,0,0,0.64,0.64,0,0.64,2.56,0.32,0,45.75,1.6,2.88
22Month,2.19,0.55,15.31,0,0,0.55,1.64,4.92,101.68,51.93,3.83,1.64,39.91,7.65,13.12,3.83,11.48,0,4.37,1.64,0,0,0,0.55,0,1.64,0,0.55,0,0.55,1.64,0,1.64
