stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,1.07,0,3.21,1.07,1.07,0,2.14,0
21Day,0,0,0,0,0,0,0,0,1.34,0,2.68,0,1.34,1.34,0
3Month,0,0.32,0,0.32,0,0.64,0,0,0.64,0,0,0,0.96,0,0
22Month,0.55,0.55,0.55,0,0.55,28.97,1.64,0,0,0,0,0,2.19,0,0.55
