stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,1.07,1.07,0,0,0,0,0,1.07,2.14,0,0,0,4.28,6.42,1.07,0,0,0
21Day,4.02,1.34,0,4.02,1.34,1.34,0,0,0,0,0,0,2.68,5.35,0,0,2.68,9.37,1.34,1.34,0,0
3Month,0,0,0,0.64,0,0,0.32,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32
22Month,0,0.55,0.55,1.64,0,0,0,1.09,7.11,1.09,0.55,0,1.09,1.09,1.09,0.55,0.55,0,0,0,0,0.55
