stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,3.21,0,1.07,0,0,7.49,3.21,0,0,2.14,0,0,1.07,0,0,0
21Day,1.34,0,0,6.69,0,2.68,0,0,0,0,0,0,0,1.34,2.68,0,2.68,0,0,1.34,1.34,0,0,0,1.34,1.34,0,0,0,0
3Month,0,0,0.64,8.96,0,0,0.32,0.32,0.64,2.88,5.12,1.28,4.16,0,2.56,2.88,3.84,1.6,0.64,0,0,0.32,0.32,0.32,0.64,29.76,0,0.32,42.23,1.28
22Month,0,2.19,0,1.64,0,0,0,0,0,0,2.73,0,1.09,0,0,0.55,0,0,0,0.55,0,1.09,0,0,0,21.32,0,0,0,0
