stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,1.07,3.21,0,1.07,0,0,0,0,0,0,0,1.07,2.14,2.14,2.14,0,0,0,0,33.16,7.49,0,8.56,0,0,2.14,0,0,0
21Day,2.68,0,8.03,0,2.68,0,0,0,0,0,0,0,4.02,0,1.34,8.03,2.68,9.37,0,0,1.34,0,9.37,8.03,0,8.03,0,2.68,0,0,0,0
3Month,0,0,2.56,0,0,0,0,0.32,0,0,46.07,1.6,0,1.92,0,0.64,0,0.64,0.32,0,0.64,0.64,0.32,0,0,0,1.6,18.88,0,0.64,3.52,0.96
22Month,0,0.55,1.64,0,0,0.55,1.09,1.09,7.11,1.09,49.2,0.55,1.09,4.92,1.09,0,3.83,2.73,0,1.64,0.55,0,0,0,0.55,0,0,1.64,0.55,0,0,1.64
