stage,Cardiomyocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,4.09,0,8.17,0,0,0
72hpf,1.07,1.07,0,6.42,0,1.07,0,1.07
21Day,0,0,0,2.68,0,0,1.34,0
