stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Retinal_cell,T_cell
72hpf,0,0,0,0,0,0,0,3.21,0,1.07,2.14,0,0
21Day,0,1.34,0,0,8.03,0,0,0,1.34,2.68,5.35,1.34,2.68
3Month,0,0.64,0,2.88,0,0,0.32,0,0.64,0.32,0,0,0.32
22Month,0.55,0,0.55,15.31,0,1.09,0,0,0,0.55,0,0,0.55
