stage,Epithelial_cell,Goblet_cell,Hepatocyte,Keratinocyte,Neural_cell
24hpf,0,0,0,4.09,0
72hpf,0,0,0,2.14,0
21Day,2.68,0,0,2.68,1.34
3Month,0.32,0.32,0.32,0,0
22Month,0,0,1.09,0,0
