stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,2.14,1.07,1.07,2.14,0,0,0,0,0,0,0,1.07,1.07,0,349.82,7.49,1.07,0,0,1.07,0
21Day,1.34,1.34,1.34,0,1.34,0,0,0,2.68,2.68,0,1.34,0,0,95.04,1.34,1.34,1.34,0,0,0
3Month,0,0.32,0,0,0,0.32,0.32,0,0,0.32,0.32,0.32,0,2.24,3.2,0,0,0,1.28,0,1.28
22Month,0,1.09,0,0,0,0.55,3.83,0.55,0,0,0,1.09,0,0,1.09,0,0,0,0,0,0
