stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,0,1.07,0,0,8.56,1.07,0,0,0
21Day,0,1.34,0,1.34,0,0,0,0,0,4.02,1.34,0,1.34,0,0,9.37,0,1.34,0,0
3Month,0,1.28,0,0,0.32,0,1.6,0.32,0.32,1.28,0.32,0,0,0,0,0,0,0.32,0.32,0
22Month,0.55,1.09,0.55,0,0,0.55,13.12,0,0,0,0.55,0.55,0.55,0.55,1.09,0,0.55,0,0,0.55
