stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,49.21,1.07,1.07,1.07,0,3.21,0,0,0,0
21Day,1.34,0,0,1.34,0,0,0,0,0,0,0,1.34,1.34,0,0,0,0,13.39,0,0,1.34,0,1.34,0,0,0,0
3Month,0,0.32,0.32,2.24,0.32,0.32,0,2.56,0,0.96,0,0.32,0.32,0.96,0,0,0.32,0.96,0.32,0.32,0,4.16,0,0,0.32,0.64,0.32
22Month,0,1.64,0,1.09,0,0.55,0.55,20.23,0.55,2.19,0.55,0.55,4.92,0.55,1.09,0.55,0,1.64,0,1.09,0,4.92,0.55,0.55,0,0,1.09
