stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,490.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,20.43,85.81,0,0,0,4.09,4.09,102.16,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,746.71,1.07,2.14,5.35,0,0,0,0,0,0,0,0,1.07,0,1.07,22.47,216.1,92,0,0,0,0,46,18.19,1.07,0,0,12.84,0,0,1.07,0,0,0,0,0,0
21Day,5.35,548.8,5.35,1.34,10.71,0,2.68,0,0,0,1.34,1.34,0,9.37,0,2.68,6.69,269.05,36.14,0,0,1.34,0,12.05,17.4,0,2.68,0,18.74,6.69,0,2.68,1.34,5.35,1.34,2.68,0,8.03
3Month,0.32,561.19,14.08,0,0,0.64,0.64,0.64,1.92,4.16,0.32,31.36,4.8,0.64,5.76,0.96,5.12,54.07,8.32,1.92,0.32,4.16,1.28,1.6,0.32,2.24,0.96,0,0.32,1.92,10.24,0.32,0,0,0,83.19,8.96,3.2
22Month,0,586.56,6.56,0,0,0,0.55,0,1.09,6.01,25.69,97.85,3.28,1.09,7.65,1.09,2.19,14.21,10.39,0,1.64,1.64,0.55,1.09,0,1.64,0.55,0.55,0.55,1.09,5.47,1.09,0.55,0,0.55,7.65,0,3.83
