stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,6432,0,0,12.26,0,0,0,0,0,0,0,0,0,0,8.17,12.26,73.56,0,0,0,20.43,281.96,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,1980.18,4.28,0,6.42,1.07,10.7,0,0,1.07,0,0,1.07,0,2.14,8.56,3.21,33.16,1.07,1.07,0,71.68,31.02,1.07,1.07,21.4,1.07,0,5.35,0,0,5.35,0,0
21Day,3319.56,0,5.35,25.43,5.35,52.2,8.03,1.34,2.68,4.02,2.68,8.03,8.03,0,13.39,0,25.43,0,12.05,1.34,32.12,33.46,0,0,17.4,30.79,0,1.34,12.05,14.72,1.34,0,2.68
3Month,51.83,0.32,0.32,1.92,0,0,0,0,1.6,2.24,0.64,0,0,0,0.64,0.96,0.32,0,0.32,0,0,0,0,0,0,0.32,0.96,0,0,0,0,1.6,1.28
22Month,6.01,0,0,0.55,0,0,0,0,0.55,6.01,1.09,0,1.64,0,0,1.64,0.55,0.55,0,0,0,0,0,0.55,0,0,3.83,0,0,0,0,0,0
