stage,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_progenitor_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,8.17,0,0
3Month,0.96,0.32,0.64,0.32,0.32,0.64,0.32,0,0,9.28,0.32
22Month,0,0,1.64,0,1.09,0,0,0.55,0,0,0
