stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,3.21,1.07,9.63,6.42,0,0,0,0,0,0,0,0,3.21,0,158.33,0,20.33,7.49,0,0,6.42,0,0,3.21,2.14,0,0,0,0
21Day,4.02,0,6.69,2.68,4.02,1.34,0,0,4.02,0,0,0,0,5.35,0,89.68,1.34,13.39,8.03,0,0,5.35,2.68,0,0,0,5.35,0,0,0
3Month,0,0,1.28,0.32,0,0,0,0.32,1.28,0,0,0,0.32,0.32,0.64,3.2,0,0,0,0,0.64,0.32,0.32,15.36,0,0,0,0.64,3.52,0.64
22Month,0,0,1.64,0,0,0,0.55,0,9.29,0.55,0.55,1.64,0,0,0,3.28,0,0,0,0.55,0,0,0.55,6.56,0,0.55,0,0,0,0.55
