stage,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia
72hpf,0,0,1.07,1.07,0,8.56,2.14,1.07,0,1.07
21Day,0,0,0,1.34,1.34,1.34,0,0,1.34,0
22Month,1.09,0.55,0,0,0,0,0,0,0,0
