stage,Epithelial_cell,Erythrocyte__Liver_,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0
72hpf,0,0,0,0,0,1.07,0,5.35,1.07,1.07,66.33,10.7,0,5.35,0,1.07,0,0
21Day,1.34,0,0,1.34,0,0,0,0,0,1.34,10.71,0,1.34,0,0,0,0,0
3Month,1.28,0,0.32,0,0.96,0.32,0.32,0.32,0,0.32,0,0,0.64,0,0.96,0,0.64,0.64
22Month,3.28,0.55,6.01,0,1.09,0,0,0,0,0,0.55,0,0.55,0,0,0,0,0
