stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,514.89,0,0,114.42,0,0,0,0,0,0,0,0,0,0,0,0,0,122.59,0,0,0,0,8.17,49.04,0,0,0,0,0,0,0,0,0,0,0
72hpf,856.9,0,0,12.84,0,6.42,0,0,0,0,0,0,0,0,3.21,17.12,1.07,9.63,0,0,0,1.07,69.54,11.77,0,0,7.49,1.07,0,3.21,3.21,1.07,0,0,0
21Day,464.47,0,0,16.06,0,5.35,2.68,0,0,0,0,0,0,1.34,0,4.02,1.34,18.74,0,0,4.02,0,53.54,8.03,0,0,5.35,14.72,0,6.69,1.34,1.34,0,0,1.34
3Month,60.79,2.24,0.32,9.28,0.32,0,0,0.32,1.92,0,10.24,3.52,0.32,1.6,0.64,8,7.68,4.16,0.96,0,0,0.96,1.6,0.32,0.64,0.32,0,1.6,27.2,0,0,0,1.92,4.16,1.92
22Month,21.87,2.19,1.09,8.75,0,0,0,0,2.19,1.64,60.13,1.09,1.09,1.64,0,4.37,5.47,9.84,0.55,2.73,0.55,0.55,2.73,0,1.09,0,0.55,0,33.35,0.55,0,0,1.64,0,0
