stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,4.09,0,0,0,0,0,0
72hpf,0,0,0,4.28,0,0,0,0,0,0,0,0,0,0,0,0,8.56,3.21,1.07,0,0,0,0,0,0
21Day,2.68,0,0,42.83,2.68,0,0,0,0,0,206.13,0,6.69,0,0,2.68,8.03,2.68,0,0,0,2.68,1.34,0,0
3Month,0,0.32,0,34.23,0,0,3.52,0.64,0.32,0.96,1.92,1.28,1.28,0.32,0,0.64,2.56,0,0,4.16,0.32,0,0,2.88,0.64
22Month,0,1.09,0.55,59.59,0,2.19,13.67,0,2.73,0.55,0,2.73,1.64,0,0.55,0,2.73,0,0,2.73,0,0,0,0,0.55
