stage,Epithelial_cell,Erythrocyte,Granulosa_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia
24hpf,4.09,0,0,0,0,0,0,0,12.26,0,4.09,49.04,0,4.09,0,0
72hpf,2.14,3.21,0,1.07,0,1.07,4.28,0,8.56,0,23.54,29.95,0,3.21,4.28,3.21
21Day,1.34,1.34,0,0,0,0,0,0,1.34,0,0,4.02,0,1.34,0,0
3Month,1.28,0,0,0,0,0,0.32,0.64,0.32,0.32,0,0,0.32,0,0,0
22Month,0,0,0.55,0,0.55,0,0,0,0,0,0,0,0,0,0,0
