stage,Epithelial_cell,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,1.07,0,2.14,1.07,0,0
21Day,12.05,0,0,2.68,1.34,0,0,0,0,0
3Month,6.08,0,0.32,0,0.32,0.32,0,0,0.32,0
22Month,2.73,0.55,0,0,0,0,0,0,0,0.55
